Question ID ,Simple ID ,Question Text ,Possible Answers
96024,Good.At.Math,Are you good at math? ,"Yes,No "
98059,Siblings,Do/did you have any siblings? ,"Yes,Only-child "
98078,Creative,"Do you have a ""go-to"" creative outlet? ","Yes,No "
98197,Pray.Meditate,Do you pray or meditate on a regular basis? ,"Yes,No "
98578,Exercise,Do you exercise 3 or more times per week? ,"Yes,No "
98869,Life.Purpose,Does life have a purpose? ,"Yes,No "
99480,Spanked,Did your parents spank you as a form of discipline/punishment? ,"Yes,No "
99581,Left.handed,Are you left-handed? ,"Yes,No "
99716,Live.alone,Do you live alone? ,"Yes,No "
99982,Keep.checklist,Do you keep check-lists of tasks you need to accomplish? ,"Check!,Nope "
100010,Watch.TV,Do you watch some amount of TV most days? ,"Yes,No "
100562,Life.Better.5.Years,Do you think your life will be better five years from now than it is today? ,"Yes,No "
100680,Cried.Past.60.Days,Have you cried in the past 60 days? ,"Yes,No "
100689,Feel.Overweight,Do you feel like you are currently overweight? ,"Yes,No "
101162,Optimist.or.Pessimist,Are you generally more of an optimist or a pessimist? ,"Optimist,Pessimist "
101163,Which.Parent.Wore.Pants,"Which parent ""wore the pants"" in your household? ","Mom,Dad "
101596,Build.Tree.House,"As a kid, did you ever build (or help build) a tree-house? ","Yes,No "
102089,Rent.or.Own,Do you rent or own your primary residence? ,"Rent,Own "
102289,Feel.Life.Adventurous,Does your life feel adventurous? ,"Yes,No "
102674,Have.CC.Debt,Do you have any credit card debt that is more than one month old? ,"Yes,No "
102687,Eat.Breakfast.Daily,Do you eat breakfast every day? ,"Yes,No "
102906,Carrying.Grudge,Are you currently carrying a grudge against anyone in your personal life? ,"Yes,No "
103293,Have.Greater.Than.1.Pet,Do you have more than one pet? ,"Yes,No "
104996,Brush.Teeth.Twice.or.More,Do you brush your teeth two or more times every day? ,"Yes,No "
105655,Awakened.by.Alarm,Were you awakened by an alarm clock this morning? ,"Yes,No "
105840,Retail.Therapy,"Do you ever treat yourself to ""retail therapy""? ","Yes,No "
106042,Take.Meds,Are you taking any prescription medications? ,"Yes,No "
106272,Own.Pwr.Tools,"Do you own any power tools? (power saws, drills, etc.) ","Yes,No "
106388,Work.More.50.Hrs,Do you work 50+ hours per week? ,"Yes,No "
106389,Good.Liar,Are you a good/effective liar? ,"Yes,No "
106993,Like.Your.Name,Do you like your given first name? ,"Yes,No "
106997,Like.People,"Do you generally like people, or do most of them tend to get on your nerves pretty easily? ","Yay people!,Grrr people "
107491,Punctuate.Texts,Do you punctuate text messages? ,"Yes,No "
107869,Feel.Normal,"Do you feel like you're ""normal""? ","Yes,No "
108342,Spend.Time.With.Friends,Do you spend more time with friends online or in-person? ,"Online,In-person "
108343,Too.Much.Debt,Do you feel like you have too much personal financial debt? ,"Yes,No "
108617,Single.Parent.House,Do you live in a single-parent household? ,"Yes,No "
108754,Both.Parents.College,Do both of your parents have college degrees? ,"Yes,No "
108855,Enjoy.Extended.Fam,Do you enjoy getting together with your extended family? ,"Yes!,Umm... "
108856,Social.or.Antisocial,"Lots of people are around! Are you more likely to be right in the middle of things, or looking for your own quieter space? ","Socialize,Space "
108950,Cautious.or.Risky,"Are you generally a cautious person, or are you comfortable taking risks? ","Cautious,Risk-friendly "
109244,Feminist,Are you a feminist? ,"Yes,No "
109367,Been.Poor,Have you ever been poor (however you personally defined it at the time)? ,"Yes,No "
110740,Mac.or.PC,Mac or PC? ,"Mac,PC "
111220,Alarm.Clock.Set.Fast,Is your alarm clock intentionally set to be a few minutes fast? ,"Yes,No "
111580,Parents.Supportive.or.Demanding,"As a teenager, do/did you have parents who were generally more supportive or demanding? ","Supportive,Demanding "
111848,Ever.Get.Straight.As,Did you ever get a straight-A report card in high school or college? ,"Yes,No "
112270,Better.Looking.Than.Best.Friend,Are you better looking than your best friend? ,"Yes,No "
112478,Have.Phobias,Do you have any phobias? ,"Yes,No "
112512,Naturally.Skeptical,Are you naturally skeptical? ,"Yes,No "
113181,Pray.Meditate2,Do you meditate or pray on a regular basis? ,"Yes,No "
113583,Music.Radio.w.Driving,While driving: music or talk/news radio? ,"Tunes,Talk "
113584,People.Face2Face.orTechnology,"During your average day, do you spend more time interacting with people (face-to-face) or technology? ","People,Technology "
113992,Gamble,Do you gamble? ,"Yes,No "
114152,Charitiable.Cause,Do you support a particular charitable cause with a lot of your time and/or money? ,"Yes,No "
